,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
0,2,1,0,5,7,925,925,925
1,2,4,0,5,7,1122,1122,1122
2,2,10,0,7,8,1100,1100,1100
3,2,12,0,7,8,795,795,795
4,2,12,0,5,7,795,795,795
5,2,15,0,8,9,1040,1040,1040
6,2,1,0,5,7,925,925,925
7,2,4,0,5,7,1122,1122,1122
8,2,10,0,7,8,1100,1100,1100
9,2,12,0,7,8,795,795,795
10,2,12,0,5,7,795,795,795
11,2,15,0,8,9,1040,1040,1040
12,2,1,0,5,7,925,925,925
13,2,4,0,5,7,1122,1122,1122
14,2,10,0,7,8,1100,1100,1100
15,2,12,0,7,8,795,795,795
16,2,12,0,5,7,795,795,795
17,2,15,0,8,9,1040,1040,1040
18,2,1,0,5,7,925,925,925
19,2,4,0,5,7,1122,1122,1122
20,2,10,0,7,8,1100,1100,1100
21,2,12,0,7,8,795,795,795
22,2,12,0,5,7,795,795,795
23,2,15,0,8,9,1040,1040,1040
24,2,1,0,5,7,925,925,925
25,2,4,0,5,7,1122,1122,1122
26,2,10,0,7,8,1100,1100,1100
27,2,12,0,7,8,795,795,795
28,2,12,0,5,7,795,795,795
29,2,15,0,8,9,1040,1040,1040
30,2,1,0,5,7,925,925,925
31,2,4,0,5,7,1122,1122,1122
32,2,10,0,7,8,1100,1100,1100
33,2,12,0,7,8,795,795,795
34,2,12,0,5,7,795,795,795
35,2,15,0,8,9,1040,1040,1040
36,2,1,0,5,7,925,925,925
37,2,4,0,5,7,1122,1122,1122
38,2,10,0,7,8,1100,1100,1100
39,2,12,0,7,8,795,795,795
40,2,12,0,5,7,795,795,795
41,2,15,0,8,9,1040,1040,1040
42,2,1,0,5,7,925,925,925
43,2,4,0,5,7,1122,1122,1122
44,2,10,0,7,8,1100,1100,1100
45,2,12,0,7,8,795,795,795
46,2,12,0,5,7,795,795,795
47,2,15,0,8,9,1040,1040,1040
48,2,1,0,5,7,925,925,925
49,2,4,0,5,7,1122,1122,1122
50,2,10,0,7,8,1100,1100,1100
51,2,12,0,7,8,795,795,795
52,2,12,0,5,7,795,795,795
53,2,15,0,8,9,1040,1040,1040
54,2,1,0,5,7,925,925,925
55,2,4,0,5,7,1122,1122,1122
56,2,10,0,7,8,1100,1100,1100
57,2,12,0,7,8,795,795,795
58,2,12,0,5,7,795,795,795
59,2,15,0,8,9,1040,1040,1040
60,2,1,0,5,7,925,925,925
61,2,4,0,5,7,1122,1122,1122
62,2,10,0,7,8,1100,1100,1100
63,2,12,0,7,8,795,795,795
64,2,12,0,5,7,795,795,795
65,2,15,0,8,9,1040,1040,1040
66,2,1,0,5,7,925,925,925
67,2,4,0,5,7,1122,1122,1122
68,2,10,0,7,8,1100,1100,1100
69,2,12,0,7,8,795,795,795
70,2,12,0,5,7,795,795,795
71,2,15,0,8,9,1040,1040,1040
72,2,1,0,5,7,925,925,925
73,2,4,0,5,7,1122,1122,1122
74,2,10,0,7,8,1100,1100,1100
75,2,12,0,7,8,795,795,795
76,2,12,0,5,7,795,795,795
77,2,15,0,8,9,1040,1040,1040
78,2,1,0,5,7,925,925,925
79,2,4,0,5,7,1122,1122,1122
80,2,10,0,7,8,1100,1100,1100
81,2,12,0,7,8,795,795,795
82,2,12,0,5,7,795,795,795
83,2,15,0,8,9,1040,1040,1040
84,2,1,0,5,7,925,925,925
85,2,4,0,5,7,1122,1122,1122
86,2,10,0,7,8,1100,1100,1100
87,2,12,0,7,8,795,795,795
88,2,12,0,5,7,795,795,795
89,2,15,0,8,9,1040,1040,1040
90,2,1,0,5,7,925,925,925
91,2,4,0,5,7,1122,1122,1122
92,2,10,0,7,8,1100,1100,1100
93,2,12,0,7,8,795,795,795
94,2,12,0,5,7,795,795,795
95,2,15,0,8,9,1040,1040,1040
96,2,1,0,5,7,925,925,925
97,2,4,0,5,7,1122,1122,1122
98,2,10,0,7,8,1100,1100,1100
99,2,12,0,7,8,795,795,795
100,2,12,0,5,7,795,795,795
101,2,15,0,8,9,1040,1040,1040
102,2,1,0,5,7,925,925,925
103,2,4,0,5,7,1122,1122,1122
104,2,10,0,7,8,1100,1100,1100
105,2,12,0,7,8,795,795,795
106,2,12,0,5,7,795,795,795
107,2,15,0,8,9,1040,1040,1040
108,2,1,0,5,7,925,925,925
109,2,4,0,5,7,1122,1122,1122
110,2,10,0,7,8,1100,1100,1100
111,2,12,0,7,8,795,795,795
112,2,12,0,5,7,795,795,795
113,2,15,0,8,9,1040,1040,1040
114,2,1,0,5,7,925,925,925
115,2,4,0,5,7,1122,1122,1122
116,2,10,0,7,8,1100,1100,1100
117,2,12,0,7,8,795,795,795
118,2,12,0,5,7,795,795,795
