,Address,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
0,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
1,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
2,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
3,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
4,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
5,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
6,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
7,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
8,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
9,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
10,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
11,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
12,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
13,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
14,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
15,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
16,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
17,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
