Address,Latitude,Longitude,Price,Beds,Posted,Minimum_Cost,Maximum_Cost,Minimum_Beds,Maximum_Beds,Average_Cost,Area,Website,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
"The Dean Campustown Champaign, IL 61820",40.1095997,-88.2301132,709,Studio to 4,Recently,709,709,Studio,4,709,Champaign,Hotpads.com,4,177.25,1,0,0,1,0,1,0,0,1,0.4140993708,0.1533003033,0.1867871632,3.490246397,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Westgate Apartments LLC Champaign, IL 61821",40.1281324,-88.2747459,575,1,Recently,575,575,1,1,575,Champaign,Hotpads.com,4,575,1,1,1,0,1,1,1,0,0,2.915359479,2.687351227,2.792623756,2.402337505,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"705 S 1st Street Champaign, IL 61820",40.1096365,-88.2390635,"1,300",2 to 4,Recently,1300,1300,2,4,1300,Champaign,Hotpads.com,4,325,1,1,1,0,0,1,0,0,0,0.6408063975,0.4222016345,0.6443013019,3.036320899,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Baytowne Apartments LLC Champaign, IL 61822",40.1421546,-88.2664718,"1,080",1,Recently,1080,1080,1,1,1080,Champaign,Hotpads.com,5,1080,1,0,0,1,1,1,0,1,0,3.291972284,3.015806549,3.005948203,3.465159597,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"The Legends Champaign, IL 61822",40.0764014,-88.3173633,995,1 to 3,Recently,995,995,1,3,995,Champaign,Hotpads.com,5,331.6666667,0,1,0,0,1,0,0,1,1,4.993465368,5.02573718,5.3374959,1.866518669,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Lincolnshire West Champaign, IL 61821",40.0976971,-88.2714019,625,1 to 2,Recently,625,625,1,2,625,Champaign,Hotpads.com,5,312.5,0,0,0,1,1,1,1,1,0,2.23391041,2.217846327,2.517497196,1.193305246,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"520 Neil Champaign, IL 61820",40.1208835,-88.2432553,"1,595",1 to 2,Recently,1595,1595,1,2,1595,Champaign,Hotpads.com,3,797.5,1,0,0,1,1,0,1,1,0,1.387975837,1.104992103,1.105295057,3.15987423,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Windcrest Apartments Champaign, IL 61820",40.1317184,-88.2487317,425,Studio to 1,Recently,425,425,Studio,1,425,Champaign,Hotpads.com,4,425,1,1,1,1,1,1,0,1,1,2.183475109,1.895523309,1.844583911,3.404245555,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"Watersedge Apartments Champaign, IL 61822",40.1508051,-88.2601105,875,1 to 3,Recently,875,875,1,3,875,Champaign,Hotpads.com,3,291.6666667,0,0,1,1,0,1,0,1,0,3.631783193,3.342590652,3.269445361,4.148990924,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"217 South Champaign, IL 61820",40.1145692,-88.2438755,"1,295",1 to 2,Recently,1295,1295,1,2,1295,Champaign,Hotpads.com,4,647.5,1,1,0,1,0,1,1,0,1,1.059706858,0.8096524073,0.9295653275,2.921991149,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
