,Address,Latitude,Longitude,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
0,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,1,1,0,0,1,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
1,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,4,561,1,0,1,0,0,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
2,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,1,0,1,1,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
3,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,1,0,1,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
4,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,0,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
5,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,2,260,0,0,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
6,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,0,0,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
7,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,0,1,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
8,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,1,1,1,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
9,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,1,1,0,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
10,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,0,1,1,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
11,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,1,0,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
